Agent_Size,Program,Success_Rate,Solution_Cost,Runtime,Map_Name
100,PIBT,1.0,18555.24,0.5799346160888672,den520d
200,PIBT,1.0,38705.56,1.1695073699951173,den520d
300,PIBT,1.0,59564.88,1.7909235286712646,den520d
400,PIBT,1.0,82503.32,2.3393525314331054,den520d
500,PIBT,1.0,105470.64,3.028797206878662,den520d
600,PIBT,1.0,129571.57692307692,3.5998577888195333,den520d
700,PIBT,1.0,154785.56,4.165862045288086,den520d
800,PIBT,1.0,180265.64,4.839162607192993,den520d
900,PIBT,1.0,206832.4,5.485708599090576,den520d
1000,PIBT,0.96,235204.875,6.138817061980565,den520d
