Agent_Size,Program,Success_Rate,Solution_Cost,Runtime,Map_Name
100,PIBT,1.0,8623.16,0.2619626235961914,room_64_64_16
200,PIBT,1.0,20368.68,0.6168678569793701,room_64_64_16
300,PIBT,1.0,37169.12,0.9390286827087402,room_64_64_16
400,PIBT,0.84,60845.80952380953,1.6172556082407634,room_64_64_16
500,PIBT,0.92,92467.0,2.5785803380219834,room_64_64_16
600,PIBT,0.92,132292.0,3.6202775291774585,room_64_64_16
700,PIBT,0.84,180527.52380952385,4.850562867664156,room_64_64_16
800,PIBT,0.56,239368.85714285716,6.497637527329581,room_64_64_16
900,PIBT,0.32,301124.25,9.47161090373993,room_64_64_16
1000,PIBT,0.04,353389.0,9.221574783325195,room_64_64_16
