Agent_Size,Program,Success_Rate,Solution_Cost,Runtime,Map_Name
100,PIBT,0.76,18368.157894736843,0.5728956398211027,warehouse_20_40_10_2_1
200,PIBT,0.56,41461.21428571428,1.1707277638571605,warehouse_20_40_10_2_1
300,PIBT,0.12,65919.66666666667,1.8448836008707683,warehouse_20_40_10_2_1
400,PIBT,0.0,,,warehouse_20_40_10_2_1
500,PIBT,0.0,,,warehouse_20_40_10_2_1
600,PIBT,0.0,,,warehouse_20_40_10_2_1
700,PIBT,0.0,,,warehouse_20_40_10_2_1
800,PIBT,0.0,,,warehouse_20_40_10_2_1
900,PIBT,0.0,,,warehouse_20_40_10_2_1
1000,PIBT,0.0,,,warehouse_20_40_10_2_1
