Agent_Size,Program,Success_Rate,Solution_Cost,Runtime,Map_Name
100,PIBT,0.96,5226.333333333333,0.1534482240676879,random_64_64_20
200,PIBT,0.72,11481.222222222224,0.3092501958211263,random_64_64_20
300,PIBT,0.56,18817.571428571428,0.4677225862230573,random_64_64_20
400,PIBT,0.5384615384615384,26690.92857142857,0.687356812613351,random_64_64_20
500,PIBT,0.2307692307692307,36187.833333333336,0.8894127607345581,random_64_64_20
600,PIBT,0.074074074074074,48160.0,1.209263563156128,random_64_64_20
700,PIBT,0.04,60357.0,1.4556646347045898,random_64_64_20
800,PIBT,0.0,,,random_64_64_20
900,PIBT,0.0,,,random_64_64_20
1000,PIBT,0.0,,,random_64_64_20
