Agent_Size,Program,Success_Rate,Solution_Cost,Runtime,Map_Name
100,PIBT,1.0,10530.08,0.2746374607086181,warehouse_10_20_10_2_2
200,PIBT,1.0,22076.84,0.5900376605987548,warehouse_10_20_10_2_2
300,PIBT,1.0,34570.48,0.9235209083557128,warehouse_10_20_10_2_2
400,PIBT,1.0,48035.12,1.3236700534820556,warehouse_10_20_10_2_2
500,PIBT,1.0,62042.28,1.636873083114624,warehouse_10_20_10_2_2
600,PIBT,1.0,77275.28571428571,1.9954197577067785,warehouse_10_20_10_2_2
700,PIBT,1.0,93260.28,2.336652717590332,warehouse_10_20_10_2_2
800,PIBT,1.0,109512.53846153848,2.698414490773128,warehouse_10_20_10_2_2
900,PIBT,1.0,125114.34615384616,2.961071637960581,warehouse_10_20_10_2_2
1000,PIBT,1.0,142033.88,3.3367175388336183,warehouse_10_20_10_2_2
